id,title,content,content_more,latitude,longitude,maplink,address,monday,tuesday,wednesday,thursday,friday ,saturday,sunday,contact,category,fee,in_outDoor,rating,website_link,photo_main,is_published,published_date,user
43,Kampung Agong,"Starting in 1942, the founder of the land started to plant the coconut tree and paddy fields as soon innovated to “Agro Themed Park”. Kampung Agong was named by the nickname of the land founder which villagers called the f","ounder as ‘Agong’.

Walk around you can find more than 15 different sizes and shapes of bird nests which are inspired by actual weaver birds around here. Besides that, there is also a giant swing beside the paddy field accompanied by sunset in the evening. A decoy white grand wooden piano surrounded by paddy fields and hundreds of coconut trees also one of the hot instagrammable spots.

Kampung Agong also has the wisdom of traditional architecture which includes jelapang padi, rumah kampung, and so on. Furthermore, you can also stretch your legs and explore other areas in Kampung Agong such as the pond that is sprawled with water lilies. After walking around and immersing in the relaxing landscape, you can hop on the bicycle to check out different corners here.",5.5400597,100.37965,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3971.1847321443956!2d100.3791425!3d5.539600999999999!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304adb02d3b02647%3A0xba8b43c50269f515!2sKampung%20Agong!5e0!3m2!1sms!2smy!4v1729919784475!5m2!1sms!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","841, Kampung Bakar Kapor, 13100 Penaga, Pulau Pinang",9 am - 6 pm,9 am - 6 pm,9 am - 6 pm,9 am - 6 pm,9 am - 6 pm,9 am - 6 pm,9 am - 6 pm,012-4817795,Nature and Scenery,"Local (MyKad/ MyKid/MM2H/i-Kad)
- Adult @ RM10
- Children (4-12 years old) @ RM7
- Infant (0-3 years old) @ FREE

Foreigner (Standard)
- Adult @ RM18
- Children (4-12 years old) @ RM12.00
- Infant (0-3 years old) @ FREE

OKU / Disabled Person
- Adult @ RM6
- Children (4-12 years old) @ FREE
- Infant (0-3 years old) @ FREE",Outdoor,4.4,https://www.kampungagong.com/,https://kampungagong.com/wp-content/uploads/2021/12/Penang-International-Food-Festival-1.jpg,1,13/12/2024 14:55,1
44,Pulau Aman,"Pulau Aman (translated as “Island of Peace”) is not just one of Penang best beaches, but also one of Seberang Perai main attractions. It is so small and laid-back that even most locals let it slip under their radars. Home","to a community of 300 fishermen, its quaint, car-free alleys offer timeless tropical bliss. To catch up with modernity, one must hop on the short bumboat ride (RM8 roundtrip) back to the Batu Musang jetty and the mainland.

Comprising of two islets – Pulau Aman and inhabited atoll Pulau Gedung – Pulau Aman was occupied by the Bugis ethnic group of Kedah in 1817 and has been a rural fishing community ever since. The island is relatively small covering 1.2 square kilometres and has a 4-kilometres walking path that snakes all around it.",5.2630022,100.388164,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3972.0447032898137!2d100.3705626!3d5.4101628!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac46ac604c789%3A0x2d2ea7974c5dd639!2sPulau%20Aman!5e0!3m2!1sms!2smy!4v1729919873358!5m2!1sms!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","Bagan Luar, 12200 Butterworth, Pulau Pinang",Open,Open,Open,Open,Open,Open,Open,-,Nature and Scenery,"Return Ticket:
- RM8 per adult
- RM4 for children until 12 years of age. 
- Infants free",Outdoor,4,-,"https://www.penang-insider.com/livingpenang/wp-content/uploads/2021/06/Pulau_Aman_Penang_featured.jpg?ezimgfmt=ng%3Awebp%2Fngcb2%2Frs%3Adevice%2Frscb2-1
",1,14/12/2024 14:55,1
45,Sri Weld Food Court,"Sri Weld Food Court, located in the bustling commercial heart of George Town on Beach Street (Lebuh Pantai), is a popular destination for locals seeking an affordable and satisfying breakfast or lunch. Famous for its nasi lema","k, served in traditional banana leaf parcels, the food court offers a variety of options including boiled egg, chicken, fried fish, and squid nasi lemak, making it a top choice for many. In addition to nasi lemak, visitors can indulge in other local delights such as laksa, flavorful clay pot chicken rice, and nasi kandar, making Sri Weld a must-visit for anyone exploring Penang's vibrant street food scene.",5.4177473,100.3429036,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3971.994741720937!2d100.34067821744385!3d5.417767100000017!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac3f6ba9ce141%3A0xe17aa010af1c940a!2sSri%20Weld%20Food%20Court!5e0!3m2!1sen!2smy!4v1729918392164!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","Beach St, Georgetown, 10300 George Town, Penang",11:30 am-4:00 pm,11:30 am-4:00 pm,11:30 am-4:00 pm,11:30 am-4:00 pm,11:30 am-4:00 pm,11:30 am-4:00 pm,11:30 am-4:00 pm,012-3037400,Culinary Excellence,RM 1-20,Indoor,4,-,https://media-cdn.tripadvisor.com/media/photo-s/08/4a/0b/2d/entrance.jpg,1,15/12/2024 14:55,1
46,Hon Kei Food Corner,"Hon Kei Food Corner, located in Kampong Malabar, George Town, was previously a stall in Ho Ping Coffee Shop at the junction of Penang Road and Jalan Kampong Malabar. This eatery is famous for its delicious pork noodles, fish h","ead noodles, and porridge, making it a favorite among locals and visitors. Its cozy and casual atmosphere offers a welcoming space to enjoy hearty and flavorful meals.",5.4190045,100.3325272,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3971.986519020411!2d100.33265779999999!3d5.4190176!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac397482e4851%3A0x6af63485048bf5d4!2sHon%20Kei%20Food%20Corner!5e0!3m2!1sen!2smy!4v1729918414576!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","43, Kampong Malabar, George Town, 10200 George Town, Pulau Pinang",6:00 am-12:00 pm,6:00 am-12:00 pm,6:00 am-12:00 pm,6:00 am-12:00 pm,6:00 am-12:00 pm,6:00 am-12:00 pm,6:00 am-12:00 pm,016-4439085,Culinary Excellence,RM 1-20,Indoor,4.1,-,https://d2kihw5e8drjh5.cloudfront.net/eyJidWNrZXQiOiJ1dGEtaW1hZ2VzIiwia2V5IjoicGxhY2VfaW1nL2YzNmIxNGIzZTU0MzRjYTc5NjNlNmJhMDBlMDBhYmZiIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDAsImhlaWdodCI6NjQwLCJmaXQiOiJpbnNpZGUifSwicm90YXRlIjpudWxsLCJ0b0Zvcm1hdCI6ICJ3ZWJwIn19,1,16/12/2024 14:55,1
47,Lee Huat Cafe,"Lee Huat Cafe continues to serve a wide range of hawker food items that Penangites love for breakfast. The menu features delicious options like curry noodles, jawa noodles, nasi lemak, popiah rolls, and hokkien prawn noodles,",all bursting with flavor and aroma. It’s a great spot to enjoy satisfying meals with your loved ones and experience the best of Penang's culinary delights.,5.3930422,100.3029797,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3972.157395226122!2d100.302978!3d5.392971499999999!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac22b6cb85c31%3A0x689c6baf4ff17950!2sLee%20Huat%20Cafe!5e0!3m2!1sen!2smy!4v1729918436141!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","377-B, Jln Masjid Negeri, Taman Green Lane, 11600 Jelutong, Penang",9:00 am-9:00 pm,9:00 am-9:00 pm,9:00 am-9:00 pm,Closed,9:00 am-9:00 pm,9:00 am-9:00 pm,9:00 am-9:00 pm,-,Culinary Excellence,RM 1-20,Indoor,4.1,-,https://www.stevengoh.com/wp-content/uploads/2018/04/lee_huat_cafe3.jpg,1,17/12/2024 14:55,1
48,No.76 Coffee Stall,"No.76 Coffee Stall is the ideal spot for a quick and tasty breakfast in Penang, famous for its crispy toast topped with butter and kaya (coconut jam), paired with perfectly soft-boiled eggs, this stall offers a range of local","delights. From fragrant nasi lemak to delectable nyonya pastries, there's something to satisfy every craving. The highlight, however, is the adorable latte art on their classic kopi drinks, whether you prefer them hot or ice-cold. Enjoy your coffee with a touch of foamy cuteness that makes your breakfast experience extra special!",5.3893237,100.306007,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3972.180925672837!2d100.30589589999998!3d5.389374999999993!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac17fe61ae173%3A0xfed7739a76324040!2sNo.76%20Coffee%20Stall!5e0!3m2!1sen!2smy!4v1729918448750!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","19, Medan Batu Lanchang, Jelutong, 11600 George Town, Pulau Pinang",7:00 am-10:00 pm,7:00 am-10:00 pm,7:00 am-10:00 pm,7:00 am-10:00 pm,7:00 am-10:00 pm,7:00 am-10:00 pm,7:00 am-10:00 pm,012-4286952,Culinary Excellence,RM 1-20,Indoor,4.2,-,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh03LsW9_eIJ8rRNhx5jpbXPSfGLmE3TIT0b3FQDALZ7mxgyHxeOF-U6A_2NZQ-OhEJafw2xecOjGvagu7e-34vFMTnQldpo_A6VYLuvQ7tc6omU0spDSWR51J_sE6hh3uSsv-YV2PusFE/s1600/DSC07700.JPG,1,18/12/2024 14:55,1
49,Big Crab Street Food,"Big Crab Street Food is a sprawling food court that offers a wide variety of Penang’s culinary delights with the convenience of ample parking. With numerous stalls, you can indulge in everything from Chinese and Indian mee t","o Western, Japanese, and steamed rice dishes. The seafood stall is particularly popular, serving delicious stingray, binjal, and crab that are highly recommended. The spacious venue allows you to choose between indoor or outdoor seating, both offering a comfortable dining atmosphere. For a relaxed meal, the street-side tables provide the perfect setting to enjoy your food.",5.3955816,100.3241302,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3972.139609269502!2d100.32406669999999!3d5.3956884!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac3dc313b1c1f%3A0xc9b65069f3444ee2!2sBig%20Crab%20Street%20Food!5e0!3m2!1sen!2smy!4v1729918460705!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","28, Jalan Perusahaan Jelutong 2, Fortune Park, 11600 Jelutong, Pulau Pinang",8:00 am-11:30 pm,Closed,8:00 am-11:30 pm,8:00 am-11:30 pm,8:00 am-11:30 pm,8:00 am-11:30 pm,8:00 am-11:30 pm,016-4681724,Culinary Excellence,RM 1-20,Indoor&Outdoor,4,-,https://cdn2.npcdn.net/images/product/1200x1200-1-0/731142-product3055341.jpg,1,19/12/2024 14:55,1
50,Lucky Eatery Food Court Centre,"Lucky Eatery Food Court Centre offers a diverse selection of food, with Chinese, Malay, and Indian stalls catering to all tastes. It's an ideal spot for a relaxed meal at affordable prices. Most of the hawker stalls operate du","ring lunch, making it a popular lunchtime destination for locals and visitors alike. Whether you're craving flavorful rice dishes, noodles, or snacks, there's something for everyone at this vibrant food court.",5.3293234,100.2780166,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3972.5720420842176!2d100.27821639999999!3d5.3292405999999986!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac03e16bd40f5%3A0x5bddb538ecc34668!2sLucky%20Eatery%20Food%20Court%20Centre!5e0!3m2!1sen!2smy!4v1729918473255!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","11900, Medan Bayan, 11900 Bayan Lepas, Pulau Pinang",11:00 am-12:00 am,11:00 am-12:00 am,11:00 am-12:00 am,11:00 am-12:00 am,11:00 am-12:00 am,11:00 am-12:00 am,11:00 am-12:00 am,-,Culinary Excellence,RM 1-20,Indoor&Outdoor,4,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTooPaDX7hB3e-BQ1XNkBVHuB9ikb09iL0uw&s,1,20/12/2024 14:55,1
51,Astaka Sungai Pinang,"Astaka Sungai Pinang is a bustling food court that offers a wide variety of food options, including popular local dishes like bak kut teh and seafood. In addition to local fare, you'll find a selection of Thai and Chinese cuis","ine, providing a diverse range of flavors to suit every palate. With numerous food stalls to choose from, this lively spot is perfect for exploring different culinary delights in one place.",5.3982725,100.3270165,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d63553.85160059376!2d100.29076377910157!3d5.399334700000006!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac3dd372d0625%3A0x7c893da5adcd477d!2sAstaka%20Sungai%20Pinang!5e0!3m2!1sen!2smy!4v1729918488776!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","Lebuh Sungai Pinang Jelutong, 11600 George Town",4:00 pm-11:45 pm,4:00 pm-11:45 pm,4:00 pm-11:45 pm,4:00 pm-11:45 pm,4:00 pm-11:45 pm,4:00 pm-11:45 pm,4:00 pm-11:45 pm,-,Culinary Excellence,RM 1-20,Indoor&Outdoor,3.9,-,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjbWBVxR6QQf8t6zs5FhRLeP9R834jeKt0diFss2RPuwBA0oU48Q4LrjVYbnXAvj08cmr1vq0zUqQtTfeaR_sNLw4hfWbVeKb1ub_UB1HMkkW5qLPqxX6rgBZ_onQ62U_pak6oCgRwqWv0_/w1200-h630-p-k-no-nu/Sg+Pinang+Food+Court+Front.JPG,1,21/12/2024 14:55,1
52,Kompleks Makanan Medan Renong Padang Kota Lama,"Kompleks Makanan Medan Renong Padang Kota Lama is a vibrant food court located near the sea, offering a mix of Chinese and Malay food stalls. Known for its delicious green tomyam and flavorful rojak, it’s a great spot to enj","oy local delicacies with a stunning waterfront view. Whether you're craving spicy soups or refreshing fruit salads, this food court provides an ideal setting to savor Penang's culinary delights while soaking in the sea breeze.",5.422799,100.340744,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3971.961788894226!2d100.3407302!3d5.422776800000012!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac384e2a622b5%3A0xe8cb26fef6916a57!2sKompleks%20Makanan%20Medan%20Renong%20Padang%20Kota%20Lama!5e0!3m2!1sen!2smy!4v1729918502564!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","4, Jalan Tun Syed Sheh Barakbah, George Town, 10200 George Town, Pulau Pinang",11:45 am-11:59 pm,11:45 am-11:59 pm,Closed,11:45 am-11:59 pm,11:45 am-11:59 pm,11:45 am-11:59 pm,11:45 am-11:59 pm,019-4775786,Culinary Excellence,RM 1-20,Outdoor,3.7,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNm3nocBRjmY47TYN_is2c8f4FyT4qrk7mbA&s,1,22/12/2024 14:55,1
53,Fisherman's Wharf Food Corner Penang,"Fisherman's Wharf Food Corner Penang is one of the more contemporary food courts in the city, offering a wide array of cuisines to satisfy any craving. Whether you’re in the mood for Western, Thai, Chinese, Indian, Mexican,","or Italian dishes, you’ll find it all here. Though prices are slightly higher, the food court provides a comfortable dining experience with a beautiful sea view. It's the perfect spot to enjoy a diverse range of flavors while relaxing by the waterfront.",5.394069,100.3259039,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3972.1507398765393!2d100.32570869999999!3d5.3939883!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac3de6dba9f41%3A0x9dfcec04e6eb3d9a!2zRmlzaGVybWFuJ3MgV2hhcmYgRm9vZCBDb3JuZXIgUGVuYW5nIOann-Wfjua4lOS6uueggeWktOe-jumjn-S4reW_gw!5e0!3m2!1sen!2smy!4v1729918520153!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","92A, 1, Lebuh Sungai Pinang, 11600 Jelutong, Pulau Pinang",8:30 am-12:00 am,8:30 am-12:00 am,8:30 am-12:00 am,8:30 am-12:00 am,8:30 am-12:00 am,8:30 am-12:00 am,8:30 am-12:00 am,012-4040265,Culinary Excellence,RM 1-20,Indoor,4,-,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjH_u1ZQtWybwsZNSlFx6EY2mencxpD8eq-k3-B09ZqjEaRRxNTbE54GVnUiqzZnQxN-f0wynkc3ar6F0pKIjsszvP2k903aV-28gsKhi3sZNFcjv2ZV4yZejTNbvCz-ANwn2J8jeYv6DKVfD1qdSWPVnFojUE72PZJQY_YU98WGTjafA_o7vMbvA9K/s600/a2.png,1,23/12/2024 14:55,1
54,Bee Hwa Cafe,"Bee Hwa Cafe in Penang is a popular halal Chinese kopitiam, renowned for serving a variety of local Chinese hawker food favorites. The cafe offers a special taste by using only chicken sourced from halal suppliers and fresh se","afood, making it a must-visit spot for those seeking authentic Chinese flavors in a halal setting. Perfect for tourists and locals alike, Bee Hwa Cafe blends traditional recipes with quality ingredients, ensuring a delightful dining experience.",5.4189507,100.3308544,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3971.98735880236!2d100.3309518!3d5.418889900000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac3971125b137%3A0x104b2e3bb3d342d6!2sBee%20Hwa%20Cafe!5e0!3m2!1sen!2smy!4v1729918538644!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","10, Lebuh Dickens, George Town, 10050 George Town, Pulau Pinang",7:00 am-3:00 pm,7:00 am-3:00 pm,7:00 am-3:00 pm,7:00 am-3:00 pm,7:00 am-3:00 pm,7:00 am-3:00 pm,Closed,012-8540005,Culinary Excellence,RM 1-20,Indoor,4.3,-,https://i0.wp.com/1.bp.blogspot.com/-paJZg3v3Ubg/XY3hcUfZuDI/AAAAAAABAt0/WvZlJgR3gvcr3HZsD5TmCJW8GpWPsJpUACLcBGAsYHQ/s400/Bee-Hwa-Cafe-01.jpg?resize=350%2C200&ssl=1,1,24/12/2024 14:55,1
55,Ais Tingkap,"Ais Tingkap is a must-try refreshing drink in Penang. It may look simple, but it’s made through a fun process with shaved ice, sugar syrup, getah anggur, rose essence, basil seeds, Indian herbs, coconut water, and fresh coco","nut flesh, all topped with more shaved ice. You won’t regret waiting in line for this tasty treat!",5.4176697,100.3312895,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3971.994326850308!2d100.33140779999998!3d5.4178301999999965!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac3971dd6691f%3A0xf659b74743d1419b!2sAis%20Tingkap!5e0!3m2!1sen!2smy!4v1729918783715!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","2, Lebuh Tamil, George Town, 10100 George Town, Pulau Pinang",3:00 pm-9:30 pm,3:00 pm-9:30 pm,3:00 pm-9:30 pm,Closed,3:00 pm-9:30 pm,3:00 pm-9:30 pm,3:00 pm-9:30 pm,017-4555351,Culinary Excellence,RM 1-20,Outdoor,4.2,-,https://www.mypenang.gov.my/uploads/page/42/images/Penang_FoodLifestyle_FB_AisTingkap.jpg,1,25/12/2024 14:55,1
56,888 Hokkien Mee (Lebuh Presgrave),"888 Hokkien Mee, located on Lebuh Presgrave, has been a beloved spot for 30 years, known for its Hokkien-style noodles served in a rich prawn soup. The soup's vibrant red color and sweet umami flavor make it a standout. For ad","ded texture, you can enhance your bowl with options like braised pork ribs or roasted pork, both highly recommended. It's a must-try for anyone looking to experience authentic flavors in Penang!",5.4111268,100.3306561,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3972.0388430341027!2d100.330766!3d5.411055299999999!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac394dec9975f%3A0xeb45b4941686a367!2s888%20Hokkien%20Mee!5e0!3m2!1sen!2smy!4v1729918805971!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","67-A, Lebuh Presgrave, 10300 George Town, Pulau Pinang",11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,-,Culinary Excellence,RM 1-20,Indoor&Outdoor,4.1,-,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjSKl1Sk2uTsbeaLnaC2MpWdZK8E4LhI_RgKrJmJ3hxaJK3iTBUq-zKVixmnWr08ihdi3y6hUdUdzKxI0LaJo6Gm2oZg-QnrpakmkQ-pstPJYKguWrSimuIuebnefXmq4whx8OKmxHFFhsu/s1600/DSC_0087jk.jpg,1,26/12/2024 14:55,1
57,Roti Canai Transfer Road,"Roti Canai Transfer Road in Penang is a must-visit for delicious, authentic Malaysian breakfast. Enjoy flaky roti canai served with rich, flavorful curries right on the bustling street, offering a unique local experience loved",by both locals and tourists. Perfect for anyone craving the taste of traditional Penang street food!,5.4208946,100.3307587,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3971.9752099645343!2d100.33069359999996!3d5.420737000000007!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac399d68dc42b%3A0x7aaf90265adc6374!2sRoti%20Canai%20Transfer%20Road!5e0!3m2!1sen!2smy!4v1729918828543!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","114, 110, Jalan Transfer, George Town, 10050 George Town, Pulau Pinang",7:00 am-12:00 pm,7:00 am-12:00 pm,7:00 am-12:00 pm,7:00 am-12:00 pm,7:00 am-12:00 pm,7:00 am-12:00 pm,7:30 am-12:00 pm,-,Culinary Excellence,RM 1-20,Outdoor,3.5,-,https://penangfoodie.sgp1.digitaloceanspaces.com/2017/07/transfer-road-1.jpg,1,27/12/2024 14:55,1
58,Moh Teng Pheow Nyonya Koay,"Moh Teng Pheow Nyonya Koay, located in the heart of Penang, is a must-visit destination for those craving authentic Nyonya cuisine. This charming eatery offers a delightful selection of traditional dishes, expertly crafted usi","ng time-honored recipes that celebrate the rich heritage of Peranakan culture. With its inviting atmosphere and beautifully presented meals, dining here is not just about great food; it’s a cultural experience. Whether you’re indulging in the aromatic spices of their signature koay or savoring a refreshing dessert, each bite transports you to the vibrant culinary history of Penang. Don’t miss out on this culinary gem during your visit!",5.4194366,100.3354794,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3971.984108072394!2d100.33551940000002!3d5.419384199999996!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac3904db00bab%3A0x27ba4ddb94b63934!2sMoh%20Teng%20Pheow%20Nyonya%20Koay!5e0!3m2!1sen!2smy!4v1729918843023!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade",Moh Teng Pheow Nyonya Koay,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,012-4152677,Culinary Excellence,RM 1-20,Indoor,4,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRu_W_rFjsr5GYegXxkc0JUWggneYud8gym4Tx0gh3AijOSggFLs47TwsOf7pL80AwwZhE&usqp=CAU,1,28/12/2024 14:55,1
59,Ee Beng Vegetarian Food,"Ee Beng Vegetarian Food offers a fantastic selection of delicious vegetarian dishes at unbelievably affordable prices! This popular eatery in Penang caters to both vegetarians and vegans, featuring a diverse menu that includes","everything from flavorful curries to hearty stir-fries and mouthwatering rice dishes. The casual and welcoming atmosphere makes it a perfect spot for a quick meal or a relaxed dining experience with friends. Whether you're a lifelong vegetarian or simply looking to enjoy some wholesome, plant-based options, Ee Beng is a culinary treasure that proves healthy eating doesn't have to break the bank!",5.4188197,100.3308557,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3971.986388809697!2d100.33077849999998!3d5.419037400000007!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac3970c90f27b%3A0x63ba31322ac3b1d9!2sEe%20Beng%20Vegetarian%20Food!5e0!3m2!1sen!2smy!4v1729918859046!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","20, Lebuh Dickens, George Town, 10050 George Town, Pulau Pinang",7:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,Closed,012-4570660,Culinary Excellence,RM 1-20,Indoor,4.5,-,https://eebengvegetarian.myfoodcourt.info/img/PortalImage/749/Portal/749_1.jpeg,1,29/12/2024 14:55,1
60,Vegan Falafel penang,"Vegan Falafel in Penang is a hidden gem for vegetarians, offering a wide variety of delicious plant-based options. Vegan Falafel in Penang is known for its flavorful Middle Eastern and Western-inspired dishes, especially their","signature falafel, it's the perfect spot for those craving hearty and healthy meals. Located on a vibrant street, the lively atmosphere is enhanced by the reggae bar next door, which adds to the experience with great music. Whether you're a vegetarian or just a fan of great food, Vegan Falafel is a must-visit destination in Penang!",5.418422,100.3359866,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3971.990529015093!2d100.3359444!3d5.418407800000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac3554a033e7d%3A0xd26bfe792f932636!2sVegan%20Falafel%20penang!5e0!3m2!1sen!2smy!4v1729918876687!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","363, Chulia St, Georgetown, 10200 George Town, Penang",12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,011-12816757,Culinary Excellence,RM 1-20,Indoor&Outdoor,4.7,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgvbCjdLYISbuQJWAXKbhXEpOWbD664Nodnw&s,1,30/12/2024 14:55,1
